# Energy_GeV  sigma_cm2
4.07816000e+01 5.23094428e-11
4.11583400e+01 1.53019926e-09
4.17499800e+01 4.76772857e-09
4.19003600e+01 6.95560055e-09
4.22916300e+01 5.29739380e-11
4.31060400e+01 1.53214360e-09
4.32843300e+01 4.96326018e-09
4.34384600e+01 7.23623728e-09
4.38575800e+01 5.36356099e-11
4.48750600e+01 5.16606160e-09
4.50330200e+01 7.52708110e-09
4.51459200e+01 1.54247219e-09
4.54815000e+01 5.42998871e-11
4.65242500e+01 5.37651085e-09
4.66861100e+01 7.82857600e-09
4.71655600e+01 5.49598309e-11
4.72823200e+01 1.53869017e-09
4.82340500e+01 5.59506942e-09
4.83998800e+01 8.14124318e-09
4.89119700e+01 5.56223800e-11
4.95198300e+01 1.55136004e-09
5.00066900e+01 5.82198521e-09
5.01765600e+01 8.46547516e-09
5.07230500e+01 5.62831299e-11
5.18444700e+01 6.05739111e-09
5.18632200e+01 1.55475866e-09
5.20184600e+01 8.80159152e-09
5.26011800e+01 5.69457672e-11
5.37498000e+01 6.30158361e-09
5.39279700e+01 9.14998740e-09
5.43175000e+01 1.56113862e-09
5.45488600e+01 5.76085356e-11
5.57251400e+01 6.55499334e-09
5.59075800e+01 9.51111952e-09
5.65686600e+01 5.82703101e-11
5.68879200e+01 1.55649292e-09
5.77730800e+01 6.81799201e-09
5.79598600e+01 9.88546342e-09
5.86632400e+01 5.89298193e-11
5.95799900e+01 1.56087541e-09
5.98962900e+01 7.09089792e-09
6.00874800e+01 1.02735094e-08
6.08353800e+01 5.95911783e-11
6.20975200e+01 7.37405947e-09
6.22931900e+01 1.06757433e-08
6.23994400e+01 1.56155005e-09
6.30879500e+01 6.02509082e-11
6.43796500e+01 7.66785712e-09
6.45798700e+01 1.10926310e-08
6.53523300e+01 1.57601008e-09
6.54239200e+01 6.09118957e-11
6.67456500e+01 7.97267844e-09
6.69505000e+01 1.15247059e-08
6.78463900e+01 6.15721254e-11
6.84449400e+01 1.58069365e-09
6.91986000e+01 8.28891026e-09
6.94081400e+01 1.19726119e-08
7.03585600e+01 6.22299812e-11
7.16839100e+01 1.57335722e-09
7.17417100e+01 8.61697363e-09
7.19560000e+01 1.24369391e-08
7.29637500e+01 6.28885076e-11
7.43782700e+01 8.95735859e-09
7.45973900e+01 1.29181308e-08
7.50761500e+01 1.57634240e-09
7.56654000e+01 6.35462582e-11
7.71117200e+01 9.31055469e-09
7.73357400e+01 1.34166816e-08
7.84670800e+01 6.42054000e-11
7.86289200e+01 1.58718285e-09
7.99456400e+01 9.67700960e-09
8.01746200e+01 1.39332807e-08
8.13725000e+01 6.48615197e-11
8.23498200e+01 1.58274232e-09
8.28837000e+01 1.00571530e-08
8.31177000e+01 1.44686597e-08
8.43855000e+01 6.55188174e-11
8.59297400e+01 1.04513387e-08
8.61688100e+01 1.50234884e-08
8.62468000e+01 1.59574303e-09
8.75100700e+01 6.61740536e-11
8.90877200e+01 1.08599736e-08
8.93319300e+01 1.55984456e-08
9.03281900e+01 1.58623462e-09
9.07503300e+01 6.68268158e-11
9.23617600e+01 1.12837748e-08
9.26111700e+01 1.61942639e-08
9.41105600e+01 6.74824935e-11
9.46027200e+01 1.59418908e-09
9.57561300e+01 1.17235341e-08
9.60107700e+01 1.68117067e-08
9.75952200e+01 6.81368219e-11
9.90795300e+01 1.59619594e-09
9.92752400e+01 1.21797738e-08
9.95351700e+01 1.74515087e-08
1.01208910e+02 6.87891477e-11
1.02923680e+02 1.26529303e-08
1.03188950e+02 1.81144198e-08
1.03768190e+02 1.59760406e-09
1.04956400e+02 6.94426263e-11
1.06706200e+02 1.31436041e-08
1.06976850e+02 1.88012852e-08
1.08678740e+02 1.60058623e-09
1.08842650e+02 7.00955223e-11
1.10627730e+02 1.36524840e-08
1.10903800e+02 1.95130083e-08
1.12872790e+02 7.07479611e-11
1.13821660e+02 1.60443890e-09
1.14693390e+02 1.41802369e-08
1.14974900e+02 2.02504650e-08
1.17052170e+02 7.13964996e-11
1.18908460e+02 1.47275290e-08
1.19195440e+02 2.10145204e-08
